Source,Target,Weight
Tina Murphy,Betty Hughes,4.591291
Tina Murphy,Andrew Henderson,5.8740554
Tina Murphy,Beverly Morgan,3.0927045
Tina Murphy,Bruce Flores,8.400702
Tina Murphy,Steven Jenkins,5.1332755
Tina Murphy,Tricia Mcgee,3.3454716
Tina Murphy,Glenn Martinez,2.370064
Tina Murphy,Jill Greene,3.2775505
Tina Murphy,Velma Watson,3.2454727
Tina Murphy,Ella Hammond,2.6636136
Tina Murphy,Jasmine Burke,2.7465072
Tina Murphy,Freda Hardy,2.1054354
Tina Murphy,Pansy Boyle,2.5771563
Tina Murphy,Piedad Southerland,2.8698976
Tina Murphy,Annemarie Villa,2.8182192
Tina Murphy,Chantelle Graf,3.429217
Tina Murphy,Audrea Belanger,2.2129989
Tina Murphy,Aleshia Barham,2.4171598
Tina Murphy,Nickie Laflamme,2.73648
Tina Murphy,Pilar Crowell,2.8344865
Linda Martinez,Betty Hughes,4.2264013
Linda Martinez,Andrew Henderson,5.571645
Linda Martinez,Beverly Morgan,2.6028395
Linda Martinez,Teresa Murphy,3.3619382
Linda Martinez,Bonnie Gray,4.8188148
Linda Martinez,Steven Jenkins,4.7984324
Linda Martinez,Brenda Patterson,1.7448469
Linda Martinez,Jacqueline Harvey,2.9209018
Linda Martinez,Grant Mack,2.263808
Linda Martinez,Alonzo Garner,3.0712209
Linda Martinez,Ellen Huff,1.6284801
Linda Martinez,Glenn Martinez,1.8076147
Linda Martinez,Ella Hammond,2.1285927
Linda Martinez,Lindsay Reese,1.9698908
Linda Martinez,Ramona Newman,3.1654427
Linda Martinez,Ebony Collins,1.4409235
Linda Martinez,Brittny Fanning,1.3519207
Linda Martinez,Edison Boothe,1.847408
Linda Martinez,Thao Montero,2.4619277
Linda Martinez,Audrea Belanger,1.6385667
Linda Martinez,Maire Woodall,1.601699
Linda Martinez,Taina Tubbs,1.1587137
Betty Hughes,Paula Long,1.7690648
Betty Hughes,Judy Stewart,3.398862
Betty Hughes,Susan Ramirez,3.0269344
Betty Hughes,Mark Harris,0.28119498
Betty Hughes,Steven Jenkins,0.6250193
Betty Hughes,Alonzo Garner,1.3138804
Betty Hughes,Anne Nash,2.4674387
Betty Hughes,Miranda Green,3.0655217
Betty Hughes,Freda Hardy,3.1241038
Betty Hughes,Ebony Collins,3.2060213
Betty Hughes,Tesha Thiel,2.6272953
Betty Hughes,Ambrose Sampson,2.1981578
Betty Hughes,Aleshia Barham,2.7629316
Betty Hughes,Nickie Laflamme,2.349361
Betty Hughes,Taina Tubbs,3.4579604
Joshua Peterson,Eugene Turner,8.815565
Joshua Peterson,Bonnie Gray,2.9108906
Joshua Peterson,Bruce Flores,6.414869
Joshua Peterson,Jacqueline Lopez,2.2258897
Joshua Peterson,Mark Harris,2.5456245
Joshua Peterson,Garrett Myers,5.2620583
Joshua Peterson,Jacqueline Harvey,0.7759686
Joshua Peterson,Larry Phillips,0.16034946
Joshua Peterson,Nancy Lloyd,1.2922491
Joshua Peterson,Desiree Brock,0.7739969
Joshua Peterson,Teresa Sullivan,1.2167735
Joshua Peterson,Nicolas Romero,0.43909007
Joshua Peterson,Bradley Brooks,0.39755908
Joshua Peterson,Jill Greene,0.6399849
Joshua Peterson,Jaime Collier,1.4578506
Joshua Peterson,Velma Watson,0.5976876
Joshua Peterson,Faith Carter,0.58684224
Joshua Peterson,Toni Spencer,0.13858566
Joshua Peterson,Ramona Newman,1.0638385
Joshua Peterson,Ebony Collins,0.9787945
Joshua Peterson,Pansy Boyle,0.29873428
Joshua Peterson,Piedad Southerland,0.0947868
Joshua Peterson,Brittny Fanning,1.0717676
Joshua Peterson,Chantelle Graf,0.8381949
Joshua Peterson,Ambrose Sampson,0.06738051
Joshua Peterson,Audrea Belanger,0.76263446
Joshua Peterson,Aleshia Barham,0.5080665
Joshua Peterson,Maire Woodall,0.8039344
Joshua Peterson,Pilar Crowell,0.046944246
Anthony Edwards,Sarah Russell,1.7345259
Anthony Edwards,Teresa Murphy,2.3832638
Anthony Edwards,Bonnie Gray,3.9753685
Anthony Edwards,Gary Cooper,3.16035
Anthony Edwards,Susan Ramirez,0.35271105
Anthony Edwards,Gustavo Gibson,0.86101437
Anthony Edwards,Lorraine Lloyd,0.13021128
Anthony Edwards,Tricia Mcgee,1.8345857
Anthony Edwards,Nancy Lloyd,2.383699
Anthony Edwards,Travis Saunders,2.3973553
Anthony Edwards,Anne Nash,0.92654634
Anthony Edwards,Stanley Porter,2.2640054
Anthony Edwards,Lauren Harper,0.9382946
Anthony Edwards,Velma Watson,1.7067854
Anthony Edwards,Lindsay Reese,0.759929
Anthony Edwards,Melba Long,0.8797007
Anthony Edwards,Audrea Belanger,0.37534994
Anthony Edwards,Nickie Laflamme,1.0432814
Paula Long,Brian Hughes,0.1373408
Paula Long,Albert Peterson,6.094953
Paula Long,Diane Lopez,3.660541
Paula Long,Richard Hernandez,0.22673737
Paula Long,Bonnie Gray,2.4157128
Paula Long,Jacqueline Lopez,1.7299671
Paula Long,Judy Stewart,1.6770835
Paula Long,Mark Harris,2.0500722
Paula Long,Steven Jenkins,2.39368
Paula Long,Gustavo Gibson,0.76983404
Paula Long,Garrett Myers,4.7683887
Paula Long,Tricia Mcgee,0.23106515
Paula Long,Alonzo Garner,0.45574126
Paula Long,Bernard Mcbride,1.2193061
