Source,Target,Weight
Tina Murphy,Teresa Murphy,4.7153063
Tina Murphy,Gary Cooper,4.508688
Tina Murphy,Susan Ramirez,4.972001
Tina Murphy,Gustavo Gibson,5.2482452
Tina Murphy,Nicolas Romero,5.37216
Tina Murphy,Thao Montero,4.864108
Tina Murphy,Nickie Laflamme,5.745914
Teresa Murphy,Tina Murphy,4.7153063
Teresa Murphy,Jacqueline Harvey,3.669521
Teresa Murphy,Ella Hammond,2.7372093
Teresa Murphy,Melba Long,2.957914
Gary Cooper,Tina Murphy,4.508688
Gary Cooper,Marie Collins,1.7878524
Gary Cooper,Alonzo Garner,3.8374474
Gary Cooper,Glenn Martinez,3.7440884
Gary Cooper,Ella Hammond,3.7056608
Susan Ramirez,Tina Murphy,4.972001
Susan Ramirez,Tricia Mcgee,2.662043
Susan Ramirez,Freda Hardy,3.2198915
Susan Ramirez,Pansy Boyle,3.2780297
Gustavo Gibson,Tina Murphy,5.2482452
Gustavo Gibson,Joshua Peterson,2.9479573
Gustavo Gibson,Diane Lopez,2.7175624
Gustavo Gibson,Lorraine Lloyd,4.057997
Gustavo Gibson,Tricia Mcgee,3.8601213
Gustavo Gibson,Ricky Lindsey,3.1993363
Gustavo Gibson,Ambrose Sampson,4.0282946
Nicolas Romero,Tina Murphy,5.37216
Nicolas Romero,Betty Hughes,4.119244
Nicolas Romero,Percy Griffith,7.903417
Nicolas Romero,Teresa Sullivan,3.5037103
Nicolas Romero,Ramona Fowler,3.390079
Nicolas Romero,Ellen Bishop,3.4911773
Nicolas Romero,Freda Hardy,2.460849
Thao Montero,Tina Murphy,4.864108
Thao Montero,Joshua Peterson,4.1684213
Thao Montero,Richard Hernandez,9.342461
Thao Montero,Larry Phillips,3.544549
Thao Montero,Ramona Fowler,2.1631565
Thao Montero,Ella Hammond,3.722026
Thao Montero,Brittany Silva,2.8845215
Thao Montero,Helena Grice,2.2378657
Thao Montero,Aleshia Barham,3.2448952
Nickie Laflamme,Tina Murphy,5.745914
Nickie Laflamme,Paula Long,3.0229645
Nickie Laflamme,Sarah Russell,3.8120108
Nickie Laflamme,Judy Stewart,8.223768
Nickie Laflamme,Garrett Myers,3.7569408
