Source,Target,Weight
"Adinolfi, Wilson  K","Anderson, Carol ",0.3010077
"Adinolfi, Wilson  K","Andreola, Colby",0.7210205
"Adinolfi, Wilson  K","Bachiochi, Linda",0.14274335
"Adinolfi, Wilson  K","Bacong, Alejandro ",2.355249
"Adinolfi, Wilson  K","Barton, Nader",0.4585849
"Adinolfi, Wilson  K","Bates, Norman",3.5329585
"Adinolfi, Wilson  K","Becker, Scott",1.2056841
"Adinolfi, Wilson  K","Bondwell, Betsy",1.5202231
"Adinolfi, Wilson  K","Booth, Frank",3.9129107
"Adinolfi, Wilson  K","Bozzi, Charles",1.2921485
"Adinolfi, Wilson  K","Cady, Max ",7.33869
"Adinolfi, Wilson  K","Carabbio, Judith",3.299024
"Adinolfi, Wilson  K","Carey, Michael  ",3.7692945
"Adinolfi, Wilson  K","Carr, Claudia  N",0.99988836
"Adinolfi, Wilson  K","Cierpiszewski, Caroline  ",3.0296586
"Adinolfi, Wilson  K","Corleone, Michael",8.033298
"Adinolfi, Wilson  K","Crimmings,   Jean",2.7996967
"Adinolfi, Wilson  K","Fraval, Maruk ",6.0462265
"Adinolfi, Wilson  K","Gill, Whitney  ",6.2490354
"Adinolfi, Wilson  K","Gray, Elijiah  ",6.0150948
"Adinolfi, Wilson  K","Guilianno, Mike",1.9588164
"Adinolfi, Wilson  K","Hudson, Jane",3.7298725
"Adinolfi, Wilson  K","Hunts, Julissa",4.984329
"Adinolfi, Wilson  K","Jacobi, Hannah  ",6.2677712
"Adinolfi, Wilson  K","Kampew, Donysha",6.9443984
"Adinolfi, Wilson  K","Khemmich, Bartholemew",4.2408295
"Adinolfi, Wilson  K","Lindsay, Leonara ",7.1521473
"Adinolfi, Wilson  K","Lynch, Lindsay",1.7250785
"Adinolfi, Wilson  K","Maclennan, Samuel",5.480467
"Adinolfi, Wilson  K","Mahoney, Lauren  ",4.187353
"Adinolfi, Wilson  K","Martin, Sandra",6.9079823
"Adinolfi, Wilson  K","Monterro, Luisa",3.161883
"Adinolfi, Wilson  K","Moumanil, Maliki ",6.4200096
"Adinolfi, Wilson  K","Myers, Michael",3.932029
"Adinolfi, Wilson  K","Ndzi, Colombui",5.2906175
"Adinolfi, Wilson  K","O'Hare, Lynn",5.4063673
"Adinolfi, Wilson  K","Onque, Jasmine",4.7853246
"Adinolfi, Wilson  K","Smith, Martin",2.015014
"Adinolfi, Wilson  K","Rossetti, Bruno",2.5506668
"Adinolfi, Wilson  K","Sadki, Nore  ",2.0143812
"Adinolfi, Wilson  K","Singh, Nan ",3.4263434
"Adinolfi, Wilson  K","Squatrito, Kristen",1.8363109
"Adinolfi, Wilson  K","Theamstern, Sophia",1.8826668
"Adinolfi, Wilson  K","Tippett, Jeanette",0.050662573
"Adinolfi, Wilson  K","Trzeciak, Cybil",3.0657787
"Adinolfi, Wilson  K","Warfield, Sarah",1.6897635
"Adinolfi, Wilson  K","Wilkes, Annie",0.20132688
"Adinolfi, Wilson  K","Williams, Jacquelyn  ",3.249688
"Adinolfi, Wilson  K","Ybarra, Catherine ",1.8823268
"Anderson, Carol ","Bacong, Alejandro ",2.656059
"Anderson, Carol ","Barone, Francesco  A",8.651438
"Anderson, Carol ","Beatrice, Courtney ",4.2344604
"Anderson, Carol ","Becker, Renee",3.3686738
"Anderson, Carol ","Buccheri, Joseph  ",1.8722823
"Anderson, Carol ","Burke, Joelle",1.6903636
"Anderson, Carol ","Cady, Max ",7.0376925
"Anderson, Carol ","Candie, Calvin",7.934963
"Anderson, Carol ","Carabbio, Judith",2.9980233
"Anderson, Carol ","Cole, Spencer",3.5433342
"Anderson, Carol ","Crimmings,   Jean",2.4986951
"Anderson, Carol ","Dunn, Amy  ",12.2911215
"Anderson, Carol ","Engdahl, Jean",7.2504973
"Anderson, Carol ","Fraval, Maruk ",5.745229
"Anderson, Carol ","Galia, Lisa",6.083714
"Anderson, Carol ","Gaul, Barbara",10.061613
"Anderson, Carol ","Gosciminski, Phylicia  ",3.9606297
"Anderson, Carol ","Guilianno, Mike",1.6578128
"Anderson, Carol ","Hendrickson, Trina",5.1176105
"Anderson, Carol ","Hudson, Jane",3.4288723
"Anderson, Carol ","Langford, Lindsey",5.15737
"Anderson, Carol ","Larotonda, William  ",4.166271
"Anderson, Carol ","Maclennan, Samuel",5.1794686
"Anderson, Carol ","Mahoney, Lauren  ",3.886354
"Anderson, Carol ","Martin, Sandra",6.606985
"Anderson, Carol ","Moran, Patrick",8.371168
"Anderson, Carol ","Onque, Jasmine",4.484326
"Anderson, Carol ","Patronick, Lucas",3.4392645
"Anderson, Carol ","Smith, Martin",1.7140104
"Anderson, Carol ","Perry, Shakira",5.107969
