Source,Target,Weight
Tina Murphy,Gary Cooper,0.34524813
Tina Murphy,Lorraine Lloyd,0.2867716
Tina Murphy,Stanley Porter,0.335126
Tina Murphy,Gladys Blair,0.3100381
Tina Murphy,Idell Collado,0.14110725
Linda Martinez,Beverly Morgan,0.41630924
Linda Martinez,Bernard Mcbride,0.3289342
Linda Martinez,Velma Watson,0.3829918
Linda Martinez,Pilar Crowell,0.37030417
Betty Hughes,Maire Woodall,0.39671445
Joshua Peterson,Sarah Russell,0.45526677
Joshua Peterson,Bradley Brooks,0.45058286
Joshua Peterson,Miranda Green,0.37297204
Joshua Peterson,Ambrose Sampson,0.3709887
Joshua Peterson,Idell Collado,0.46223485
Anthony Edwards,Nancy Lloyd,0.3000944
Anthony Edwards,Pilar Crowell,0.29600698
Paula Long,Lorraine Lloyd,0.37168673
Paula Long,Jaime Collier,0.29073223
Paula Long,Chantelle Graf,0.22818473
Brian Hughes,Marie Collins,0.349967
Brian Hughes,Gary Cooper,0.39996976
Brian Hughes,Travis Saunders,0.29424024
Brian Hughes,Clifford Porter,0.28049573
Brian Hughes,Ambrose Sampson,0.35179964
Marie Collins,Thao Montero,0.5741899
Eugene Turner,Teresa Murphy,0.30613488
Eugene Turner,Mark Harris,0.47051865
Eugene Turner,Gustavo Gibson,0.24862969
Eugene Turner,Audrea Belanger,0.43357491
Andrew Henderson,Clifford Porter,0.210368
Andrew Henderson,Gladys Blair,0.25148314
Andrew Henderson,Audrea Belanger,0.29265752
Albert Peterson,Teresa Murphy,0.25298265
Diane Lopez,Beverly Morgan,0.37844852
Diane Lopez,Mark Harris,0.27079448
Diane Lopez,Alonzo Garner,0.24473545
Diane Lopez,Nicolas Romero,0.49730945
Diane Lopez,Tesha Thiel,0.32414496
Diane Lopez,Taina Tubbs,0.40763867
Diane Lopez,Idell Collado,0.2447136
Beverly Morgan,Steven Jenkins,0.38331687
Beverly Morgan,Glenn Martinez,0.35825378
Beverly Morgan,Maire Woodall,0.5440668
Sarah Russell,Teresa Sullivan,0.7161957
Sarah Russell,Bradley Brooks,0.19851649
Sarah Russell,Ramona Fowler,0.5302776
Teresa Murphy,Richard Hernandez,0.53391856
Teresa Murphy,Garrett Myers,0.48077732
Teresa Murphy,Anne Nash,0.42622423
Teresa Murphy,Teresa Sullivan,0.21750066
Teresa Murphy,Pilar Crowell,0.30172113
Richard Hernandez,Desiree Brock,0.35095355
Richard Hernandez,Ellen Huff,0.33652267
Richard Hernandez,Lyle Yates,0.5659473
Richard Hernandez,Ella Hammond,0.39027444
Richard Hernandez,Gladys Blair,0.26415497
Bonnie Gray,Steven Jenkins,0.49790353
Bruce Flores,Margaret Griffin,0.4262285
Bruce Flores,Grant Mack,0.25384155
Bruce Flores,Nicolas Romero,0.38415015
Bruce Flores,Ambrose Sampson,0.22724798
Jacqueline Lopez,Brittny Fanning,0.35227764
Jacqueline Lopez,Edison Boothe,0.32146588
Jacqueline Lopez,Idell Collado,0.2109724
Gary Cooper,Brenda Patterson,0.26080057
Gary Cooper,Ellen Huff,0.40405917
Gary Cooper,Brittany Silva,0.20142785
Judy Stewart,Travis Saunders,0.15052202
Susan Ramirez,Ellen Huff,0.40603638
Susan Ramirez,Jaime Collier,0.303929
Susan Ramirez,Lindsay Reese,0.19320224
