source,target,weight
Courtney Graham,Janie Anderson,0.3855627
Sara Griffin,Lakeisha New,0.79739493
Roy Cross,Ethel Long,0.4162846
Tanika South,Idell Collado,0.27061176
Nancy Watson,Lynette Vega,0.2435346
Pat Roberson,Deandre Lacey,0.21249601
Julia Hall,Julie Henderson,0.2902637
Ramona Newman,Britta Shannon,0.2812175
Brett Webster,Maris Hayden,0.28569636
Angela Garcia,Lori King,0.26047736
Al Bailey,Hsiu Alcorn,0.4244189
Richard Hernandez,Xochitl Runyon,0.28735015
Ann Cook,Gerard Clark,0.4521
Minnie Munoz,Pat Marshall,0.20101374
Martha Kelly,Arthur Turner,0.119608514
Brenda Jackson,Lorene Casey,0.3388917
Geri Minor,Idell Collado,0.254623
Lisa Ramirez,Zena Whitehead,0.49088153
Glenda Myers,Christin Patino,0.19008997
Beverly Taylor,Julia Cummings,0.3791742
Matthew Price,Whitney Simon,0.34574467
Henry Campbell,Timmy Garner,0.68557024
Fred Hill,Anne Nash,0.34310848
Pete Perez,Branda Moon,0.57526827
John Diaz,Bethany Underwood,0.45667312
Jack Hughes,Angelica Blake,0.34504342
Benny Terry,Al Bailey,0.33004346
Krystle Hardin,Kerrie Croft,0.29063827
Joe White,Demetrius Forbes,0.4558827
Jeffrey Clark,Jennifer Brown,0.24473402
Shawn Harris,Joe Alexander,0.2839887
Rita Sherman,Juanita Mathis,0.24766523
Craig Brooks,Stuart Dixon,0.36531255
Kathrin Himes,Ping Curtin,0.15330684
Doyle Morales,Delia Townsend,0.30569115
Octavio Mclendon,Taina Tubbs,0.20033458
Ralph Bailey,Luke Sharp,0.23474732
Agnes Thomas,Vivian Kelley,0.2776296
Delia Townsend,Suzanne Simon,0.25877285
Kelley Martinez,Lana Paul,0.3695031
Julie Henderson,Nicole Kelly,0.4531816
Phillip Russell,Ramona Fowler,0.3936969
Claire Hardy,Myra Mcdaniel,0.51111925
Ervin Mccormick,Ollie Ball,0.2567654
Stephen Lee,Gladys Nunez,0.38770697
Rose Smith,Patrick Kim,0.30828384
Judy Clark,Whitney Simon,0.5405197
Gregory Wright,Clifford Porter,0.34724462
Allison Jennings,Allan Sullivan,0.23573095
Doris Hamilton,Jean Cannon,0.14192033
Louis Campbell,Mark Harris,0.1735276
Willie Young,Lori Watkins,0.4422703
Lady Mccaskill,Jerrell Mcmurray,0.35260403
Marcos Guzman,Corina Towns,0.46160534
Marty Rivera,Edelmira Tillman,0.5043541
Virginia Holt,Lucy Walsh,0.4425685
Ann Cook,Saul Crawford,0.2570223
Wm Ballard,Anita Barton,0.20285046
Philip Torres,Lana Mack,0.31608123
Tiffany Arnold,Dave Lawrence,0.31348425
Brenda Patterson,Thad Judd,0.48941448
Mary Williams,Miguel Klein,0.54571944
Donna Powell,Myra Mcdaniel,0.29760215
Abraham Daniels,Lynne Rice,0.5048633
Brenda Gonzalez,Toni Simon,0.46361026
Ralph Cook,Rodney Burke,0.43022826
Charissa Mcgowan,Katrice Strunk,0.23765254
Carl Ramirez,Sara Griffin,0.88565433
Mary Martin,Tina Gross,0.24300644
Howard Young,Tammy Robinson,0.2803093
Kevin Morgan,Caroline Davis,0.31599692
Juan Santos,Hattie May,0.71851563
Kathy Potter,Tamara Perkins,0.32867864
Robert Casey,Teresita Bruton,0.30031756
Catherine Foster,Kathy Reed,0.12638685
Lynn Elliott,Nakia Arreola,0.5011058
Wayne Walker,Lori Anderson,0.177369
Ronald Mason,Jasmine Chapman,0.28714982
Heather Bell,Lynette Hall,0.5803728
Kevin Morgan,Nancy Morris,0.1455957
Kathleen Roberts,Lisa Ramirez,0.8145912
Brittny Fanning,Obdulia Salter,0.102939926
Eva Chavez,Wendell Wilkins,0.11440588
Eunice Becker,Angelica Blake,0.10368178
Kristin Rice,Miguel Klein,0.3663096
Minnie Hodges,Carol Lowery,0.3085723
Jessica Miller,Steven Coleman,0.1782307
Alan Green,Pam Guzman,0.3198801
Christopher Robinson,Glenn Martinez,0.42955294
Larry Allen,Jasmine Hogan,0.5897004
Thomas Ramirez,Lizzette Sherwood,0.3921654
Susan Ramirez,Delta Scholl,0.50699145
Joan Long,Summer Lachance,0.2836958
Martin Collins,Isabel Ramos,0.4920725
Lela Sutton,Sharda Zamora,0.1767892
Susan Ramirez,Duane Hamilton,0.34051558
Phillip White,Jack Bell,0.4178305
Geri Minor,Briana Willey,0.37682658
Sue Rodriquez,Bridget Mills,0.45500448
Drew Poole,Vivien Olivo,0.31531033
Harold Jones,Tomoko Kimble,0.6033745
Marilyn Henderson,Briana Willey,0.3263424
Christopher Robinson,Kerry Copeland,0.28080654
Jack Bell,Kari Willis,0.15098506
Peter Cox,Frankie Spencer,0.48398396
Joyce Malone,Warner Stephenson,0.29674315
Christina Gonzales,Carolyn Bennett,0.22491544
Leigh Benson,Melody Yates,0.49959162
Cynthia Miller,Bernard Mcbride,0.46196553
Christina Tate,America Alarcon,0.39571774
Jennifer Watkins,Annette Hubbard,0.45020667
Jasmine Hogan,Vernetta Swann,0.27376515
Cecelia Gibson,Dorothy Guerrero,0.47071806
Larry Bennett,Micah Fay,0.38288954
Holly Hunt,Natalya Espino,0.16316524
Kelli Turner,Wendell Wilkins,0.5930805
Simon Jefferson,Marianne Hogan,0.10849788
Garrett Myers,Laverne Ingram,0.6471877
Julie Rivera,Cleora Burch,0.22550485
Paulette Fox,Joetta Allred,0.4846141
Nicolas Roy,Reita Easley,0.32030168
Billy Green,Sierra Redman,0.088637866
Bessie Bell,Milton Steele,0.41804478
Jonathon Singleton,Lana Paul,0.24524376
Chris Rivera,Joanne Fitzgerald,0.50802886
Felipe Wong,Teresa Bass,0.39703432
Wendell Wilkins,Kathern Greathouse,0.21700937
Phyllis Reed,Jermaine Barnett,0.17291746
Keith Simmons,Steven Williams,0.17113662
Alfred Romero,Deandre Ferris,0.22767586
Julia Allen,Bessie Welch,0.13142538
Larry Bennett,Wilfred Sutton,0.214008
Catherine Foster,Harold Cunningham,0.45243332
Ramona Fowler,Josef Cochran,0.15539595
Lynn Hines,Claire Hardy,0.42139223
Jack Ward,Dawn Powell,0.5000427
Terry Hernandez,Andrea Mccarthy,0.35175395
Caroline Davis,Floy Hood,0.32898843
Mary Price,Guadalupe Santos,0.3684629
Kerry Lambert,Rosalie Welch,0.27265057
Kevin Lee,Thelma Daniel,0.38308865
Felicia Gray,Casey Reeves,0.48101297
Walter Ross,Tova Florence,0.564667
Ada Rios,Melba Long,0.3018192
Miranda Green,Kay Jefferson,0.17947045
Lynn Hines,Glenn Martinez,0.3911688
Roxanne Rowe,Harris Morrow,0.2455824
Jimmy Reed,Andrew Henderson,0.4313253
Salvatore Munoz,Michelle Washington,0.68961096
Andrea Turner,Mae Francis,0.39479312
Wallace Griffin,Genia Keaton,0.4178672
Brittany Silva,Deangelo Boykin,0.17706352
Lillian Rogers,Elsa Murray,0.5937618
Ada Rios,Bunny Barrera,0.39850852
Katherine Hill,Sherri Ruiz,0.26369148
Samuel Sanchez,Christal Means,0.696457
Clarence Jackson,Lisa Ramirez,0.46983996
Terry Bell,Tonya Carroll,0.37628037
Linda Washington,Sally Adams,0.25432584
Andrea Turner,Marty Rivera,0.49621513
Henrietta Townsend,Ruth Christensen,0.59348136
Rebecca Perez,Geraldine Colon,0.3033575
Caleb Murphy,Joanie Barr,0.50153166
Gerald Robinson,Lizzette Sherwood,0.3719944
Wanda Davis,Miriam Dixon,0.28702712
Shirley Lane,Kay Jefferson,0.37840924
Melody Yates,Carmel Knutson,0.3431731
Al Bailey,Jeannette Jordan,0.46591708
Lula Sherman,Joyce Malone,0.293156
Ida Patterson,Wanda Williams,0.2759972
Joe Alexander,Allan Sullivan,0.36101755
Marilyn Harris,Lori Lee,0.17127544
Luke Sharp,Charissa Mcgowan,0.5105327
Henry Perry,Kenneth Adkins,0.3814159
Jeffrey Rodriguez,Allison Patrick,0.48180416
Edward Harris,Pam Guzman,0.38712785
Pete Perez,Sharda Zamora,0.42552164
Ralph Long,Tabitha Mendez,0.49838492
Brenda Price,Bradford Fuller,0.27861682
Joshua Perry,Brian Watson,0.52390814
Fred Sandoval,Lanny Gallegos,0.13418007
Joshua Peterson,Silvia Garner,0.42138472
Kari Willis,Leona Schneider,0.21634576
Sammy Williamson,Lucy Walsh,0.5028715
